epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0075,1.07306,2.19579,2.93179,1.34136,0,0.00333,1,0.76314,0.47719,0.00333,1,0.76314,0.49119,1.0542,0.96955,3.4778,1.37008,0,0.0001,0.0001,0.0001
2,62.418,0.68561,0.97837,2.01921,1.10547,0,0.00333,1,0.97235,0.62603,0.00333,1,0.97235,0.77157,1.00076,0.57655,3.11257,1.40554,0,0.00020911,0.00020911,0.00020911
3,88.1836,0.62326,0.63676,1.34161,1.00361,0,0.00872,1,0.98037,0.69392,0.00872,1,0.98037,0.68353,0.75928,0.42771,2.99595,1.1146,0,0.00030634,0.00030634,0.00030634
4,111.252,0.68781,0.62738,1.36239,1.08706,0,0.00799,1,0.98163,0.67319,0.00799,1,0.98163,0.80455,0.77262,0.476,2.97864,1.1438,0,0.00039169,0.00039169,0.00039169
5,134.608,0.69381,0.50284,1.23809,0.99419,0,0.00333,1,0.91208,0.64086,0.00333,1,0.91208,0.83622,0.81529,0.35362,2.94352,1.12421,0,0.00046516,0.00046516,0.00046516
6,158.327,0.70773,0.58319,1.16106,1.05214,0,0.00333,1,0.98848,0.77548,0.00333,1,0.98848,0.90757,0.90749,0.6866,3.32939,1.36174,0,0.00052675,0.00052675,0.00052675
7,182.218,0.61791,0.46109,1.08806,0.97403,0,0.43084,1,0.9245,0.6752,0.43084,1,0.9245,0.82086,0.80207,0.68946,2.94893,1.1956,0,0.00057646,0.00057646,0.00057646
8,206.455,0.5795,0.45368,0.98997,0.96704,0,1,0.48046,0.91871,0.50713,1,0.48046,0.91871,0.76485,1.0073,1.19793,3.15383,1.23524,0,0.00061429,0.00061429,0.00061429
9,229.911,0.62792,0.43864,0.99393,0.97375,0,0.95602,0.88889,0.96468,0.77205,0.95602,0.88889,0.96468,0.7988,0.6685,1.19371,2.56413,1.03583,0,0.00064024,0.00064024,0.00064024
10,252.934,0.64139,0.40217,1.02931,0.99729,0,0.91614,0.94444,0.99,0.78673,0.91614,0.94444,0.99,0.86332,0.63512,0.84417,2.34086,0.97816,0,0.00065431,0.00065431,0.00065431
11,275.731,0.58383,0.25562,1.58722,1.06844,0,0.76584,0.81783,0.87731,0.55209,0.81579,0.86111,0.91458,0.67768,0.88744,0.87505,3.02379,1.20423,0,0.0006565,0.0006565,0.0006565
12,300.907,0.62651,0.24404,1.52447,1.09651,0,0.90971,0.97222,0.97456,0.7967,0.90971,0.97222,0.97456,0.78441,0.6219,0.66118,2.51362,0.95643,0,0.00064681,0.00064681,0.00064681
13,324.893,0.6329,0.25285,1.43475,1.05112,0,0.98671,0.88889,0.98396,0.72979,0.98671,0.88889,0.98396,0.8403,0.95285,0.67912,1.88422,1.17365,0,0.00062524,0.00062524,0.00062524
14,349.186,0.62993,0.22844,1.34007,1.04605,0,0.9387,0.97222,0.98688,0.69763,0.9387,0.97222,0.98614,0.70096,0.76084,0.80263,1.93994,1.08848,0,0.00059179,0.00059179,0.00059179
15,374.257,0.54815,0.23406,1.23333,0.98987,0,0.95891,0.97222,0.99096,0.69636,0.95891,0.97222,0.98964,0.68612,0.75832,0.71981,1.61498,1.08047,0,0.00054646,0.00054646,0.00054646
16,397.005,0.55037,0.22562,1.22414,1.0224,0,1,0.95973,0.99346,0.71351,1,0.95973,0.993,0.83527,0.74845,0.60995,1.53906,1.01244,0,0.00048925,0.00048925,0.00048925
17,419.284,0.58866,0.2479,1.23597,1.10259,0,0.96889,1,0.99203,0.73921,0.96889,1,0.99203,0.88729,0.68794,0.5202,1.56667,0.98397,0,0.000416,0.000416,0.000416
18,442.812,0.51133,0.22471,1.14496,0.98454,0,0.99196,1,0.995,0.8629,0.99196,1,0.995,0.94627,0.5347,0.34196,1.31163,0.90233,0,0.000317,0.000317,0.000317
19,467.109,0.48156,0.21985,1.13264,0.96237,0,0.99283,1,0.995,0.86902,0.99283,1,0.995,0.96348,0.49167,0.28769,1.34135,0.87251,0,0.000218,0.000218,0.000218
20,489.683,0.48777,0.21371,1.09275,0.96982,0,0.99324,1,0.995,0.88496,0.99324,1,0.995,0.96602,0.51249,0.25018,1.32096,0.87775,0,0.000119,0.000119,0.000119
